source,hour,cost
Solar,1098,30
Solar,1099,30
Solar,1100,30
Solar,1101,30
Solar,1102,30
Solar,1103,30
Solar,1104,30
Solar,1105,30
Solar,1106,30
Solar,1107,30
Solar,1108,30
Solar,1109,30
Solar,1110,30
Solar,1111,30
Solar,1112,30
Solar,1113,30
Solar,1114,30
Solar,1115,30
Solar,1116,30
Solar,1117,30
Solar,1118,30
Solar,1119,30
Solar,1120,30
Solar,1121,30
Solar,1122,30
Solar,1123,30
Solar,1124,30
Solar,1125,30
Solar,1126,30
Solar,1127,30
Solar,1128,30
Solar,1129,30
Solar,1130,30
Solar,1131,30
Solar,1132,30
Solar,1133,30
Solar,1134,30
Solar,1135,30
Solar,1136,30
Solar,1137,30
Solar,1138,30
Solar,1139,30
Solar,1140,30
Solar,1141,30
Solar,1142,30
Solar,1143,30
Solar,1144,30
Solar,1145,30
Solar,1146,30
Solar,1147,30
Solar,1148,30
Solar,1149,30
Solar,1150,30
Solar,1151,30
Solar,1152,30
Solar,1153,30
Solar,1154,30
Solar,1155,30
Solar,1156,30
Solar,1157,30
Solar,1158,30
Solar,1159,30
Solar,1160,30
Solar,1161,30
Solar,1162,30
Solar,1163,30
Solar,1164,30
Solar,1165,30
Solar,1166,30
Solar,1167,30
Solar,1168,30
Solar,1169,30
Solar,1170,30
Solar,1171,30
Solar,1172,30
Solar,1173,30
Solar,1174,30
Solar,1175,30
Solar,1176,30
Solar,1177,30
Solar,1178,30
Solar,1179,30
Solar,1180,30
Solar,1181,30
Solar,1182,30
Solar,1183,30
Solar,1184,30
Solar,1185,30
Solar,1186,30
Solar,1187,30
Solar,1188,30
Solar,1189,30
Solar,1190,30
Solar,1191,30
Solar,1192,30
Solar,1193,30
Solar,1194,30
Solar,1195,30
Solar,1196,30
Solar,1197,30
Solar,1198,30
Solar,1199,30
Solar,1200,30
Solar,1201,30
Solar,1202,30
Solar,1203,30
Solar,1204,30
Solar,1205,30
Solar,1206,30
Solar,1207,30
Solar,1208,30
Solar,1209,30
Solar,1210,30
Solar,1211,30
Solar,1212,30
Solar,1213,30
Solar,1214,30
Solar,1215,30
Solar,1216,30
Solar,1217,30
Solar,1218,30
Solar,1219,30
Solar,1220,30
Solar,1221,30
Solar,1222,30
Solar,1223,30
Solar,1224,30
Solar,1225,30
Solar,1226,30
Solar,1227,30
Solar,1228,30
Solar,1229,30
Solar,1230,30
Solar,1231,30
Solar,1232,30
Solar,1233,30
Solar,1234,30
Solar,1235,30
Solar,1236,30
Solar,1237,30
Solar,1238,30
Solar,1239,30
Solar,1240,30
Solar,1241,30
Solar,1242,30
Solar,1243,30
Solar,1244,30
Solar,1245,30
Solar,1246,30
Solar,1247,30
Solar,1248,30
Solar,1249,30
Solar,1250,30
Solar,1251,30
Solar,1252,30
Solar,1253,30
Solar,1254,30
Solar,1255,30
Solar,1256,30
Solar,1257,30
Solar,1258,30
Solar,1259,30
Solar,1260,30
Solar,1261,30
Solar,1262,30
Solar,1263,30
Solar,1264,30
Solar,1265,30
Solar,1266,30
Solar,1267,30
Solar,1268,30
Solar,1269,30
Solar,1270,30
Solar,1271,30
Solar,1272,30
Solar,1273,30
Solar,1274,30
Solar,1275,30
Solar,1276,30
Solar,1277,30
Solar,1278,30
Solar,1279,30
Solar,1280,30
Solar,1281,30
Solar,1282,30
Solar,1283,30
Solar,1284,30
Solar,1285,30
Solar,1286,30
Solar,1287,30
Solar,1288,30
Solar,1289,30
Solar,1290,30
Solar,1291,30
Solar,1292,30
Solar,1293,30
Solar,1294,30
Solar,1295,30
Solar,1296,30
Solar,1297,30
Solar,1298,30
Solar,1299,30
Solar,1300,30
Solar,1301,30
Solar,1302,30
Solar,1303,30
Solar,1304,30
Solar,1305,30
Solar,1306,30
Solar,1307,30
Solar,1308,30
Solar,1309,30
Solar,1310,30
Solar,1311,30
Solar,1312,30
Solar,1313,30
Solar,1314,30
Solar,1315,30
Solar,1316,30
Solar,1317,30
Solar,1318,30
Solar,1319,30
Solar,1320,30
Solar,1321,30
Solar,1322,30
Solar,1323,30
Solar,1324,30
