source,hour,existing_cost
Solar,1373,25
Solar,1374,25
Solar,1375,25
Solar,1376,25
Solar,1377,25
Solar,1378,25
Solar,1379,25
Solar,1380,25
Solar,1381,25
Solar,1382,25
Solar,1383,25
Solar,1384,25
Solar,1385,25
Solar,1386,25
Solar,1387,25
Solar,1388,25
Solar,1389,25
Solar,1390,25
Solar,1391,25
Solar,1392,25
Solar,1393,25
Solar,1394,25
Solar,1395,25
Solar,1396,25
Solar,1397,25
Solar,1398,25
Solar,1399,25
Solar,1400,25
Solar,1401,25
Solar,1402,25
Solar,1403,25
Solar,1404,25
Solar,1405,25
Solar,1406,25
Solar,1407,25
Solar,1408,25
Solar,1409,25
Solar,1410,25
Solar,1411,25
Solar,1412,25
Solar,1413,25
Solar,1414,25
Solar,1415,25
Solar,1416,25
Solar,1417,25
Solar,1418,25
Solar,1419,25
Solar,1420,25
Solar,1421,25
Solar,1422,25
Solar,1423,25
Solar,1424,25
Solar,1425,25
Solar,1426,25
Solar,1427,25
Solar,1428,25
Solar,1429,25
Solar,1430,25
Solar,1431,25
Solar,1432,25
Solar,1433,25
Solar,1434,25
Solar,1435,25
Solar,1436,25
Solar,1437,25
Solar,1438,25
Solar,1439,25
Solar,1440,25
Solar,1441,25
Solar,1442,25
Solar,1443,25
Solar,1444,25
Solar,1445,25
Solar,1446,25
Solar,1447,25
Solar,1448,25
Solar,1449,25
Solar,1450,25
Solar,1451,25
Solar,1452,25
Solar,1453,25
Solar,1454,25
Solar,1455,25
Solar,1456,25
Solar,1457,25
Solar,1458,25
Solar,1459,25
Solar,1460,25
Solar,1461,25
Solar,1462,25
Solar,1463,25
Solar,1464,25
Solar,1465,25
Solar,1466,25
Solar,1467,25
Solar,1468,25
Solar,1469,25
Solar,1470,25
Solar,1471,25
Solar,1472,25
Solar,1473,25
Solar,1474,25
Solar,1475,25
Solar,1476,25
Solar,1477,25
Solar,1478,25
Solar,1479,25
Solar,1480,25
Solar,1481,25
Solar,1482,25
Solar,1483,25
Solar,1484,25
Solar,1485,25
Solar,1486,25
Solar,1487,25
Solar,1488,25
Solar,1489,25
Solar,1490,25
Solar,1491,25
Solar,1492,25
Solar,1493,25
Solar,1494,25
Solar,1495,25
Solar,1496,25
Solar,1497,25
Solar,1498,25
Solar,1499,25
Solar,1500,25
Solar,1501,25
Solar,1502,25
Solar,1503,25
Solar,1504,25
Solar,1505,25
Solar,1506,25
Solar,1507,25
Solar,1508,25
Solar,1509,25
Solar,1510,25
Solar,1511,25
Solar,1512,25
Solar,1513,25
Solar,1514,25
Solar,1515,25
Solar,1516,25
Solar,1517,25
Solar,1518,25
Solar,1519,25
Solar,1520,25
Solar,1521,25
Solar,1522,25
Solar,1523,25
Solar,1524,25
Solar,1525,25
Solar,1526,25
Solar,1527,25
Solar,1528,25
Solar,1529,25
Solar,1530,25
Solar,1531,25
Solar,1532,25
Solar,1533,25
Solar,1534,25
Solar,1535,25
Solar,1536,25
Solar,1537,25
Solar,1538,25
Solar,1539,25
Solar,1540,25
Solar,1541,25
Solar,1542,25
Solar,1543,25
Solar,1544,25
Solar,1545,25
Solar,1546,25
Solar,1547,25
Solar,1548,25
Solar,1549,25
Solar,1550,25
Solar,1551,25
Solar,1552,25
Solar,1553,25
Solar,1554,25
Solar,1555,25
Solar,1556,25
Solar,1557,25
Solar,1558,25
Solar,1559,25
Solar,1560,25
Solar,1561,25
Solar,1562,25
Solar,1563,25
Solar,1564,25
Solar,1565,25
Solar,1566,25
Solar,1567,25
Solar,1568,25
Solar,1569,25
Solar,1570,25
Solar,1571,25
Solar,1572,25
Solar,1573,25
Solar,1574,25
Solar,1575,25
Solar,1576,25
Solar,1577,25
Solar,1578,25
Solar,1579,25
Solar,1580,25
Solar,1581,25
Solar,1582,25
Solar,1583,25
Solar,1584,25
Solar,1585,25
Solar,1586,25
Solar,1587,25
Solar,1588,25
Solar,1589,25
Solar,1590,25
Solar,1591,25
Solar,1592,25
Solar,1593,25
Solar,1594,25
Solar,1595,25
Solar,1596,25
Solar,1597,25
Solar,1598,25
Solar,1599,25
Solar,1600,25
Solar,1601,25
Solar,1602,25
Solar,1603,25
Solar,1604,25
Solar,1605,25
Solar,1606,25
Solar,1607,25
Solar,1608,25
Solar,1609,25
Solar,1610,25
Solar,1611,25
Solar,1612,25
Solar,1613,25
Solar,1614,25
Solar,1615,25
Solar,1616,25
Solar,1617,25
Solar,1618,25
Solar,1619,25
Solar,1620,25
Solar,1621,25
Solar,1622,25
Solar,1623,25
Solar,1624,25
Solar,1625,25
Solar,1626,25
Solar,1627,25
Solar,1628,25
Solar,1629,25
Solar,1630,25
Solar,1631,25
Solar,1632,25
Solar,1633,25
Solar,1634,25
Solar,1635,25
Solar,1636,25
Solar,1637,25
Solar,1638,25
Solar,1639,25
Solar,1640,25
Solar,1641,25
Solar,1642,25
Solar,1643,25
Solar,1644,25
Solar,1645,25
Solar,1646,25
Solar,1647,25
Solar,1648,25
Solar,1649,25
Solar,1650,25
Solar,1651,25
Solar,1652,25
Solar,1653,25
Solar,1654,25
Solar,1655,25
Solar,1656,25
Solar,1657,25
Solar,1658,25
Solar,1659,25
Solar,1660,25
