Hour,Demand
5885,45566.6875
5886,47166.33984
5887,48841.78906
5888,49208.33594
5889,52372.73438
5890,56651.76563
5891,60331.95313
5892,63961.41016
5893,67070.40625
5894,69373.0625
5895,69511.99219
5896,69849.29688
5897,69472.875
5898,68354.64844
5899,65776.23438
5900,63243.11328
5901,60903.80078
5902,57860.00391
5903,54588.39063
5904,51301.90625
5905,48580.02734
5906,46457.17969
5907,44870.89063
5908,43584.04688
5909,43007.01563
5910,42691.49609
5911,42984.42188
5912,44004.40234
5913,47896.76953
5914,52776.68359
5915,56943.99609
5916,61207.90234
5917,64893.60156
5918,67587.4375
5919,69709
5920,71101.48438
5921,71254.6875
5922,70243.32813
5923,67549.25781
5924,64964.38281
5925,62418.55469
5926,58948.53125
5927,55775.10156
5928,52407.45313
5929,49594.58203
5930,47137.14063
5931,45301.48047
5932,43990.52734
5933,43088.17578
5934,42674.31641
5935,42531.31641
5936,43112.32031
5937,46543.26563
5938,50465.75781
5939,54543.92188
5940,58322.75781
5941,61496.71484
5942,64098.56641
5943,65476.07813
5944,66998.80469
5945,67255.92188
5946,66611.19531
5947,64320.85156
5948,62258.57813
5949,59693.39453
5950,56709.72656
5951,53649.4375
5952,50571.21484
5953,47837.48828
5954,46014.37891
5955,44690.46094
5956,43688.21875
5957,43269.29688
5958,43361.96484
5959,43277.03906
5960,43198.4375
5961,45732.32031
5962,49357.58203
5963,53753.34375
5964,58427.47266
5965,62415.24609
5966,65710.47656
5967,67726.85156
5968,68707.21094
5969,68198.49219
5970,66315.89844
5971,63081.5
5972,60705.39063
5973,58381.24219
5974,54770.76563
5975,50856.83203
5976,46935.8125
5977,44227.30469
5978,42217.01172
5979,40788.73828
5980,40045.11328
5981,40277.08203
5982,42131.43359
5983,44039.54688
5984,44453.76172
5985,47289.17188
5986,51068.54297
5987,55120.57813
5988,58619.375
5989,62208.3125
5990,65526.85156
5991,67836.50781
5992,69218.26563
5993,69645.5625
5994,68398.42188
5995,65364.30078
5996,62671.99609
5997,59700.44531
5998,55619.9375
5999,50958.3125
6000,46780.55859
6001,43802.64844
6002,41595.65234
6003,40420.57422
6004,39523.94531
6005,39813.08203
6006,41489.34766
6007,43746.62109
6008,44245.13281
6009,46178.80859
6010,49123.87109
6011,52538.78906
6012,56023.55859
6013,60050.09766
6014,63677.57422
6015,65887.82031
6016,68100.78125
6017,68741.27344
6018,67804.13281
6019,64623.58984
6020,61638.03125
6021,58605.13281
6022,54492.15234
6023,49805.23828
6024,45801.32813
6025,42742.96094
6026,40645.45703
6027,39071.07813
6028,38496.44922
6029,38671.98438
6030,40350.91406
6031,42331.38281
6032,42600.99219
6033,44624.64063
6034,48148.16016
6035,52044.96094
6036,55897.27734
6037,59623.24219
6038,62903.67578
6039,65175.32813
6040,67106.10938
6041,67840.32813
6042,66407.11719
6043,63069.75
6044,60434.30859
6045,57557.53906
6046,53804.85156
6047,49550.33984
6048,45927.76953
6049,43151.79297
6050,40894.9375
6051,39510.92188
6052,38785.17969
6053,38841.81641
6054,40401.86719
6055,42200.35547
6056,42472.19531
6057,44678.15234
6058,47909.23047
6059,51597.69531
6060,55073.14063
6061,58338.09766
6062,61414.14063
6063,63609.31641
6064,65273.87891
6065,65622.22656
6066,63918.49219
6067,60584.18359
6068,57878.35938
6069,54954.98047
6070,51639.33594
6071,48510.35547
6072,44999.75391
6073,42340.71875
6074,40041.14063
6075,38493.64453
6076,37292.11328
6077,36969.53906
6078,36916.82813
6079,37193.13281
6080,37636.23438
6081,40099.38672
6082,43541.28125
6083,47308.05469
6084,51079.44141
6085,54617.77734
6086,57384.01953
6087,59673.95313
6088,60992.20703
6089,61404.22656
6090,60190.07813
6091,57217.46875
6092,55151.5
6093,52844.69922
6094,50284.06641
6095,47395.05859
6096,44432.88672
6097,42006.21094
6098,40122.93359
6099,38771.375
6100,37564.28516
6101,36942.21875
6102,36807.60156
6103,37119.02734
6104,37515.76563
6105,40385.97656
6106,44294.625
6107,48520.83203
6108,51995.91406
6109,55447.32813
6110,58174.00781
6111,59874.38672
6112,60774.61328
6113,61030.10156
6114,60083.15625
6115,58314.90625
6116,57290.80469
6117,55432.89453
6118,52275.45313
6119,48663.33984
6120,45186.55469
6121,42755.625
6122,41065.11719
6123,39993.61328
6124,39676.75391
6125,40353.58594
6126,42501.61328
6127,44889.21094
6128,45139.99219
6129,46656.97266
6130,48375.96094
6131,50721.05859
6132,52438.69531
6133,53742.94141
6134,54971.89844
6135,56017.76563
6136,57081.29688
6137,57781.41406
6138,57234.75781
6139,55208.57813
6140,54340.16797
6141,52614.60938
6142,49417.23047
6143,46272.95703
6144,43043.85547
6145,40817.19922
6146,38543.05078
6147,38191.97656
6148,37318.70703
6149,37386.08984
6150,37347.79297
6151,39334.55469
6152,39628.31641
6153,41457.09375
6154,44264.86328
6155,46785.92188
6156,49592.27734
6157,51473.09766
6158,52821.38672
6159,54376.8125
