source,hour,added_capacity
Solar,1305,999999999
Solar,1306,999999999
Solar,1307,999999999
Solar,1308,999999999
Solar,1309,999999999
Solar,1310,999999999
Solar,1311,999999999
Solar,1312,999999999
Solar,1313,999999999
Solar,1314,999999999
Solar,1315,999999999
Solar,1316,999999999
Solar,1317,999999999
Solar,1318,999999999
Solar,1319,999999999
Solar,1320,999999999
Solar,1321,999999999
Solar,1322,999999999
Solar,1323,999999999
Solar,1324,999999999
Solar,1325,999999999
Solar,1326,999999999
Solar,1327,999999999
Solar,1328,999999999
Solar,1329,999999999
Solar,1330,999999999
Solar,1331,999999999
Solar,1332,999999999
Solar,1333,999999999
Solar,1334,999999999
Solar,1335,999999999
Solar,1336,999999999
Solar,1337,999999999
Solar,1338,999999999
Solar,1339,999999999
Solar,1340,999999999
Solar,1341,999999999
Solar,1342,999999999
Solar,1343,999999999
Solar,1344,999999999
Solar,1345,999999999
Solar,1346,999999999
Solar,1347,999999999
Solar,1348,999999999
Solar,1349,999999999
Solar,1350,999999999
Solar,1351,999999999
Solar,1352,999999999
Solar,1353,999999999
Solar,1354,999999999
Solar,1355,999999999
Solar,1356,999999999
Solar,1357,999999999
Solar,1358,999999999
